
envelope_property_type,archetype,,,,,,,,,,,,,,,,,,,,,
usage_group_building_name,office,,,,,,,,,,,,,,,,,,,,,
number_of_wall_layers,1,,,,,,,,,,,,,,,,,,,,,
number_of_roof_layers,1,,,,,,,,,,,,,,,,,,,,,
number_of_floor_layers,1,,,,,,,,,,,,,,,,,,,,,
startPeriod,endPeriod,Uvalue_window(W/m2/K),windowSHGC(-),windowEmissivity(-),ThermalConductivity_wall1[Wm-1K-1],ThermalConductivity_roof1[Wm-1K-1],ThermalConductivity_floor1[Wm-1K-1],SpecificHeat_wall1[Jkg-1K-1],SpecificHeat_roof1[Jkg-1K-1],SpecificHeat_floor1[Jkg-1K-1],Density_wall1[kgm-3],Density_roof1[kgm-3],Density_floor1[kgm-3],Thickness_wall1[m],Thickness_roof1[m],Thickness_floor1[m],wallAlbedo(-),roofAlbedo(-),floorAlbedo(-),wallEmissivity(-),roofEmissivity(-),floorEmissivity(-)
before,1958,3.12,0.8,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1958,1964,3.12,0.8,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1964,1974,3.12,0.76,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1974,1981,2.72,0.76,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1981,1990,2.72,0.76,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1990,1995,1.96,0.68,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
1995,2002,1.96,0.56,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
2002,2006,1.9,0.36,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
2006,2010,1.9,0.33,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
2010,2013,1.6,0.31,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
2013,after,1.6,0.31,0.84,0.8,0.8,0.8,800,800,800,2000,2000,2000,0.2,0.2,0.2,0.3,0.1,0.7,0.8,0.8,0.8
,,,,,,,,,,,,,,,,,,,,,,

envelope_property_type,buildings_group,,,,,,,,,,,,,,,,,,,,,
usage_group_building_name,group1,,,,,,,,,,,,,,,,,,,,,
